,,2022,,2023,,,,,,,,,,,,,2024,,,,,,,,,,,,,,,2025,,,,,,,,,,,,,,,2022~2025
,,12月,合計,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月,合計,1月,2月,3月,4月,5月,6月,上半期合計,7月,8月,9月,10月,11月,12月,下半期合計,合計,1月,2月,3月,4月,5月,6月,上半期合計,7月,8月,9月,10月,11月,12月,下半期合計,合計,合計
, L システム費,,,,,,,,,,,,,,,,,,,,,,¥0,,,"¥32,780","¥32,780","¥32,780","¥32,780","¥131,120","¥131,120","¥32,780","¥32,780","¥32,780","¥32,780","¥98,340","¥98,340","¥327,800",,,,,,,¥0,"¥327,800","¥458,920"
, L 決済手数料,,,,,,,,,,,,,,,,,,,,,,¥0,,,¥0,¥0,"¥575,570","¥457,477","¥1,033,047","¥1,033,047","¥492,517","¥274,586","¥1,208,970","¥779,460","¥844,258","¥751,950","¥4,351,741",,,,,,,¥0,"¥4,351,741","¥5,384,788"
, L 他人件費(管理など),,,,,,,,,,,,,,,,,,,,,,¥0,,,"¥220,000","¥220,000","¥220,000","¥220,000","¥880,000","¥880,000","¥275,000",¥0,"¥1,250,000","¥600,000","¥2,525,000","¥359,160","¥5,009,160",,,,,,,¥0,"¥5,009,160","¥5,889,160"
, L 返金対応分,,,,,,,,,,,,,,,,,,,,,,¥0,,,,,,,¥0,¥0,,,"¥3,058,905","¥3,013,263","¥3,353,161","¥7,983,594","¥17,408,923",,,,,,,¥0,"¥17,408,923","¥17,408,923"
,JV支払い,,"¥1,275,000",,,,,,,,,,,,,"¥36,704,880","¥1,570,416","¥1,336,750","¥3,789,818","¥6,312,562","¥6,132,958","¥4,203,559","¥23,346,060","¥4,790,149","¥4,808,000","¥3,015,220","¥3,048,211","¥3,184,501","¥3,530,789","¥22,376,868","¥45,722,928","¥2,811,243","¥4,143,249","¥16,882,695","¥7,234,737","¥5,081,514","¥1,549,674","¥37,703,112","¥3,600,000","¥3,000,000","¥2,300,000","¥2,600,000","¥11,200,000","¥3,100,000","¥23,000,000","¥60,703,112","¥144,405,920"
,販管費比率,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.00%,50.00%,50.00%,50.00%,30.00%,50.00%,41.92%,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,デザジュク最終入金売上,,"¥1,275,000",,,,,,,,,,,,,"¥36,704,880","¥1,570,416","¥1,336,750","¥3,789,818","¥6,312,562","¥6,132,958","¥4,203,559","¥23,346,060","¥4,790,149","¥4,808,000","¥3,015,220","¥3,048,211","¥3,184,501","¥3,530,789","¥22,376,868","¥45,722,928","¥2,811,243","¥4,143,249","¥16,882,695","¥7,234,737","¥5,081,514","¥2,324,511","¥38,477,949","¥5,400,000","¥7,000,000","¥9,200,000","¥10,400,000","¥44,800,000","¥12,400,000","¥89,200,000","¥127,677,949","¥211,380,757"
,法人事業受託入金売上,,-,,,,,,,,,,,,,-,,,,,"¥101,200","¥151,800","¥253,000","¥97,680","¥75,900","¥77,550","¥106,800","¥164,600","¥511,712","¥1,034,242","¥1,287,242","¥774,099","¥1,762,023","¥1,698,066","¥1,200,802","¥1,464,425","¥2,261,193","¥9,160,608","¥851,462","¥1,500,000","¥1,800,000","¥2,100,000","¥2,300,000","¥3,000,000","¥11,551,462","¥20,712,070","¥21,999,312"
,デザインハックス入金売上,,-,,,,,,,,,,,,,-,,,,,,,¥0,"¥1,052,480","¥693,680","¥526,240","¥334,880","¥215,280","¥167,440","¥2,990,000","¥2,990,000","¥167,440","¥263,120","¥47,840","¥119,600","¥167,440","¥143,520","¥908,960","¥100,000","¥100,000","¥100,000","¥100,000","¥100,000","¥100,000","¥600,000","¥1,508,960","¥4,498,960"
,販管費,,-,,,,,,,,,,,,,-,"¥3,370,975","¥1,956,954","¥1,325,763","¥2,843,547","¥1,508,761","¥3,007,937","¥14,013,937","¥5,420,832","¥3,641,668","¥5,232,512","¥3,883,825","¥6,922,657","¥4,701,520","¥29,803,014","¥43,816,951","¥8,349,072","¥8,167,901","¥3,298,381","¥5,163,145","¥13,669,410","¥9,275,252","¥47,923,161","¥9,733,823","¥7,000,000","¥7,000,000","¥7,000,000","¥7,000,000","¥7,000,000","¥3,493,823","¥51,416,984","¥95,233,935"
, L 役員報酬,,,,,,,,,,,,,,,,¥0,¥0,"¥123,525",¥0,¥0,¥0,"¥123,525",¥0,¥0,¥0,¥0,¥0,¥0,¥0,"¥123,525","¥168,110","¥336,220",¥0,"¥336,220",¥0,"¥336,220","¥1,176,770",¥0,¥0,¥0,¥0,¥0,¥0,¥0,"¥1,176,770","¥1,300,295"
